"Date","Region","Industry","UOM","Employment"
"2015-01","Nova Scotia","Service producing industries [41-91N]","Persons",340871
"2015-01","Nova Scotia","Trade [41-45N]","Persons",70020
"2015-01","Nova Scotia","Wholesale trade [41]","Persons",15016
"2015-01","Nova Scotia","Retail trade [44-45]","Persons",55005
"2015-01","Nova Scotia","Transportation and warehousing [48-49]","Persons",17481
"2015-01","Nova Scotia","Information and cultural industries [51]","Persons",9239
"2015-01","Nova Scotia","Finance and insurance [52]","Persons",18633
"2015-01","Nova Scotia","Real estate and rental and leasing [53]","Persons",7319
"2015-01","Nova Scotia","Professional, scientific and technical services [54]","Persons",14346
"2015-01","Nova Scotia","Management of companies and enterprises [55]","Persons",2083
"2015-01","Nova Scotia","Administrative and support, waste management and remediation services [56]","Persons",18965
"2015-01","Nova Scotia","Educational services [61]","Persons",37738
"2015-01","Nova Scotia","Health care and social assistance [62]","Persons",62529
"2015-01","Nova Scotia","Arts, entertainment and recreation [71]","Persons",5093
"2015-01","Nova Scotia","Accommodation and food services [72]","Persons",30752
"2015-01","Nova Scotia","Other services (except public administration) [81]","Persons",12151
"2015-01","Nova Scotia","Public administration [91]","Persons",34522
"2015-01","New Brunswick","Industrial aggregate including unclassified businesses [00-91N]","Persons",303320
"2015-01","New Brunswick","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",299813
"2015-01","New Brunswick","Goods producing industries [11-33N]","Persons",53896
"2015-01","New Brunswick","Forestry, logging and support [11N]","Persons",2719
"2015-01","New Brunswick","Construction [23]","Persons",18888
"2015-01","New Brunswick","Manufacturing [31-33]","Persons",28295
"2015-01","New Brunswick","Service producing industries [41-91N]","Persons",245917
"2015-01","New Brunswick","Trade [41-45N]","Persons",53288
"2015-01","New Brunswick","Wholesale trade [41]","Persons",10173
"2015-01","New Brunswick","Retail trade [44-45]","Persons",43115
"2015-01","New Brunswick","Transportation and warehousing [48-49]","Persons",15680
"2015-01","New Brunswick","Information and cultural industries [51]","Persons",6859
"2015-01","New Brunswick","Finance and insurance [52]","Persons",12127
"2015-01","New Brunswick","Real estate and rental and leasing [53]","Persons",4268
"2015-01","New Brunswick","Professional, scientific and technical services [54]","Persons",10186
"2015-01","New Brunswick","Management of companies and enterprises [55]","Persons",1432
"2015-01","New Brunswick","Administrative and support, waste management and remediation services [56]","Persons",15804
"2015-01","New Brunswick","Educational services [61]","Persons",20178
"2015-01","New Brunswick","Health care and social assistance [62]","Persons",43120
"2015-01","New Brunswick","Arts, entertainment and recreation [71]","Persons",4190
"2015-01","New Brunswick","Accommodation and food services [72]","Persons",23692
"2015-01","New Brunswick","Other services (except public administration) [81]","Persons",9710
"2015-01","New Brunswick","Public administration [91]","Persons",25384
"2015-01","Quebec","Industrial aggregate including unclassified businesses [00-91N]","Persons",3493470
"2015-01","Quebec","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",3433237
"2015-01","Quebec","Goods producing industries [11-33N]","Persons",639756
"2015-01","Quebec","Forestry, logging and support [11N]","Persons",8941
"2015-01","Quebec","Mining, quarrying, and oil and gas extraction [21]","Persons",16547
"2015-01","Quebec","Utilities [22]","Persons",27399
"2015-01","Quebec","Construction [23]","Persons",181330
"2015-01","Quebec","Manufacturing [31-33]","Persons",405539
"2015-01","Quebec","Service producing industries [41-91N]","Persons",2793481
"2015-01","Quebec","Trade [41-45N]","Persons",619009
"2015-01","Quebec","Wholesale trade [41]","Persons",174006
"2015-01","Quebec","Retail trade [44-45]","Persons",445003
"2015-01","Quebec","Transportation and warehousing [48-49]","Persons",152546
"2015-01","Quebec","Information and cultural industries [51]","Persons",75703
"2015-01","Quebec","Finance and insurance [52]","Persons",149079
"2015-01","Quebec","Real estate and rental and leasing [53]","Persons",56197
"2015-01","Quebec","Professional, scientific and technical services [54]","Persons",181199
"2015-01","Quebec","Management of companies and enterprises [55]","Persons",19746
"2015-01","Quebec","Administrative and support, waste management and remediation services [56]","Persons",157672
"2015-01","Quebec","Educational services [61]","Persons",300317
"2015-01","Quebec","Health care and social assistance [62]","Persons",428149
"2015-01","Quebec","Arts, entertainment and recreation [71]","Persons",58579
"2015-01","Quebec","Accommodation and food services [72]","Persons",240167
"2015-01","Quebec","Other services (except public administration) [81]","Persons",119705
"2015-01","Quebec","Public administration [91]","Persons",235409
"2015-01","Ontario","Industrial aggregate including unclassified businesses [00-91N]","Persons",5992334
"2015-01","Ontario","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",5907637
"2015-01","Ontario","Goods producing industries [11-33N]","Persons",1041080
"2015-01","Ontario","Forestry, logging and support [11N]","Persons",4718
"2015-01","Ontario","Mining, quarrying, and oil and gas extraction [21]","Persons",25238
"2015-01","Ontario","Utilities [22]","Persons",44700
"2015-01","Ontario","Construction [23]","Persons",310494
"2015-01","Ontario","Manufacturing [31-33]","Persons",655930
"2015-01","Ontario","Service producing industries [41-91N]","Persons",4866557
"2015-01","Ontario","Trade [41-45N]","Persons",1035309
"2015-01","Ontario","Wholesale trade [41]","Persons",329797
"2015-01","Ontario","Retail trade [44-45]","Persons",705512
"2015-01","Ontario","Transportation and warehousing [48-49]","Persons",252713
"2015-01","Ontario","Information and cultural industries [51]","Persons",151122
"2015-01","Ontario","Finance and insurance [52]","Persons",317769
"2015-01","Ontario","Real estate and rental and leasing [53]","Persons",112031
"2015-01","Ontario","Professional, scientific and technical services [54]","Persons",360881
"2015-01","Ontario","Management of companies and enterprises [55]","Persons",41466
"2015-01","Ontario","Administrative and support, waste management and remediation services [56]","Persons",346093
"2015-01","Ontario","Educational services [61]","Persons",468315
"2015-01","Ontario","Health care and social assistance [62]","Persons",654193
"2015-01","Ontario","Arts, entertainment and recreation [71]","Persons",96607
"2015-01","Ontario","Accommodation and food services [72]","Persons",435232
"2015-01","Ontario","Other services (except public administration) [81]","Persons",202061
"2015-01","Ontario","Public administration [91]","Persons",392764
"2015-01","Manitoba","Industrial aggregate including unclassified businesses [00-91N]","Persons",587977
"2015-01","Manitoba","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",582460
"2015-01","Manitoba","Goods producing industries [11-33N]","Persons",99974
"2015-01","Manitoba","Construction [23]","Persons",33025
"2015-01","Manitoba","Manufacturing [31-33]","Persons",56597
"2015-01","Manitoba","Service producing industries [41-91N]","Persons",482486
"2015-01","Manitoba","Trade [41-45N]","Persons",92231
"2015-01","Manitoba","Wholesale trade [41]","Persons",24874
"2015-01","Manitoba","Retail trade [44-45]","Persons",67357
"2015-01","Manitoba","Transportation and warehousing [48-49]","Persons",33319
"2015-01","Manitoba","Information and cultural industries [51]","Persons",10761
"2015-01","Manitoba","Finance and insurance [52]","Persons",34012
"2015-01","Manitoba","Real estate and rental and leasing [53]","Persons",8309
"2015-01","Manitoba","Professional, scientific and technical services [54]","Persons",16366
"2015-01","Manitoba","Management of companies and enterprises [55]","Persons",4094
"2015-01","Manitoba","Administrative and support, waste management and remediation services [56]","Persons",21724
"2015-01","Manitoba","Educational services [61]","Persons",51515
"2015-01","Manitoba","Health care and social assistance [62]","Persons",89820
"2015-01","Manitoba","Arts, entertainment and recreation [71]","Persons",9325
"2015-01","Manitoba","Accommodation and food services [72]","Persons",42556
"2015-01","Manitoba","Other services (except public administration) [81]","Persons",20342
"2015-01","Manitoba","Public administration [91]","Persons",48110
"2015-01","Saskatchewan","Industrial aggregate including unclassified businesses [00-91N]","Persons",484410
"2015-01","Saskatchewan","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",478115
"2015-01","Saskatchewan","Goods producing industries [11-33N]","Persons",84590
"2015-01","Saskatchewan","Mining, quarrying, and oil and gas extraction [21]","Persons",19138
"2015-01","Saskatchewan","Construction [23]","Persons",34781
"2015-01","Saskatchewan","Manufacturing [31-33]","Persons",25413
"2015-01","Saskatchewan","Service producing industries [41-91N]","Persons",393525
"2015-01","Saskatchewan","Trade [41-45N]","Persons",88397
"2015-01","Saskatchewan","Wholesale trade [41]","Persons",25670
"2015-01","Saskatchewan","Retail trade [44-45]","Persons",62727
"2015-01","Saskatchewan","Transportation and warehousing [48-49]","Persons",20386
"2015-01","Saskatchewan","Information and cultural industries [51]","Persons",10932
"2015-01","Saskatchewan","Finance and insurance [52]","Persons",21360
"2015-01","Saskatchewan","Real estate and rental and leasing [53]","Persons",6263
"2015-01","Saskatchewan","Professional, scientific and technical services [54]","Persons",15155
"2015-01","Saskatchewan","Management of companies and enterprises [55]","Persons",3728
"2015-01","Saskatchewan","Administrative and support, waste management and remediation services [56]","Persons",14746
"2015-01","Saskatchewan","Educational services [61]","Persons",43880
"2015-01","Saskatchewan","Health care and social assistance [62]","Persons",62485
"2015-01","Saskatchewan","Arts, entertainment and recreation [71]","Persons",8436
"2015-01","Saskatchewan","Accommodation and food services [72]","Persons",36576
"2015-01","Saskatchewan","Other services (except public administration) [81]","Persons",17398
"2015-01","Saskatchewan","Public administration [91]","Persons",43784
"2015-01","Alberta","Industrial aggregate including unclassified businesses [00-91N]","Persons",2087077
"2015-01","Alberta","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",2061064
"2015-01","Alberta","Goods producing industries [11-33N]","Persons",504975
"2015-01","Alberta","Forestry, logging and support [11N]","Persons",3381
